部品,面,基準軸1,位置1(端から mm),基準軸2,位置2(端から mm),穴径,加工,用途
X Frame Tube 1,+Z面(上),X,25,Y,17.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 1,+Z面(上),X,590,Y,17.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 1,+Z面(上),X,25,Y,57.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 1,+Z面(上),X,590,Y,57.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 1,-Z面(下),Y,17.5,X,25,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 1,-Z面(下),Y,57.5,X,25,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 1,-Z面(下),Y,17.5,X,590,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 1,-Z面(下),Y,57.5,X,590,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 2,+Z面(上),X,25,Y,17.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 2,+Z面(上),X,590,Y,17.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 2,+Z面(上),X,25,Y,57.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 2,+Z面(上),X,590,Y,57.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
X Frame Tube 2,-Z面(下),Y,17.5,X,25,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 2,-Z面(下),Y,57.5,X,25,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 2,-Z面(下),Y,17.5,X,590,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 2,-Z面(下),Y,57.5,X,590,Φ16,片側の壁のみ,工具挿入穴 (M8用)
X Frame Tube 3,+Z面(上),X,25,Y,17.5,Φ9,片側の壁のみ,Y-Xフレーム M8 (下から締める)
