部品,面,基準軸1,位置1(端から mm),基準軸2,位置2(端から mm),穴径,加工,用途
Y Frame Tube L,+X面(右)から貫通,Y,25,Z,19.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube L,+X面(右)から貫通,Y,386,Z,19.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube L,+X面(右)から貫通,Y,747,Z,19.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube L,+X面(右)から貫通,Y,25,Z,55.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube L,+X面(右)から貫通,Y,386,Z,55.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube L,+X面(右)から貫通,Y,747,Z,55.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube L,+Z面(上),X,25,Y,122,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,182,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,242,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,302,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,362,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,422,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,482,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,542,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,602,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube L,+Z面(上),X,25,Y,662,Φ4.2,片側の壁のみ,Yレール M5タップ
Y Frame Tube R,+X面(右)から貫通,Y,25,Z,19.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube R,+X面(右)から貫通,Y,386,Z,19.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube R,+X面(右)から貫通,Y,747,Z,19.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube R,+X面(右)から貫通,Y,25,Z,55.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube R,+X面(右)から貫通,Y,386,Z,55.5,Φ7,貫通,横桁締結 M6全ネジ
Y Frame Tube R,+X面(右)から貫通,Y,747,Z,55.5,Φ7,貫通,横桁締結 M6全ネジ
