FrameLong,mm,75 mm,"Base steel dimension for entire machine"
FrameShort,mm,50 mm,"Base steel dimension for entire machine"
FrameThick,mm,3 mm,"Base steel dimension for entire machine"
FrameRadius,mm,6 mm,"Base steel dimension for entire machine"
XFrameWidth,mm,FrameLong,"XFrame specific dimension if different from base." 
XFrameHeight,mm,FrameShort,"XFrame specific dimension if different from base." 
XFrameThick,mm,FrameThick,"XFrame specific dimension if different from base." 
XFrameRadius,mm,FrameRadius,"XFrame specific dimension if different from base." 
YFrameHeight,mm,FrameLong,"YFrame specific dimension if different from base." 
YFrameWidth,mm,FrameShort,"YFrame specific dimension if different from base."
YFrameThick,mm,FrameThick,"YFrame specific dimension if different from base." 
YFrameRadius,mm,FrameRadius,"YFrame specific dimension if different from base." 
XCuttingArea,mm,625 mm,"Set to desired Xaxis cutting area."
YCuttingArea,mm,625 mm,"Set to desired Yaxis cutting area."
XGantryHeight,mm,75 mm,"XGantry specific dimension if different from base." 
XGantryWidth,mm,75 mm,"XGantry specific dimension if different from base." 
XGantryThick,mm,4 mm,"XGantry specific dimension if different from base." 
XGantryRadius,mm,10 mm,"XGantry specific dimension if different from base." 
YRollerHeight,mm,FrameShort,"YRoller specific dimension if different from base." 
YRollerWidth,mm,max(FrameLong;XFrameWidth),"YRoller specific dimension if different from base." 
YRollerThick,mm,3 mm,"Use 3mm thickness steel for 75mm roller width to prevent radius to bolt head conflict" 
YRollerRadius,mm,FrameRadius,"YRoller specific dimension if different from base." 
YRollerLength,mm,50 mm + ( YCarriageCount * 50 mm ),"YRoller specific dimension if different from base. "
XGantryOffset,mm,25 mm,"Sets Gantry back from center of Y roller to allow addition of gusset bracket. "
SRF,,25,"Steel Rounding Factor.  Set to 5, 10, 25, or 50 as desired."
YCarriageCount,,2,"Number of Y Carriages per linear rail."
XCarriageCount,,2,"Number of X Carriages per linear rail."
XTopRollerHeight,mm,FrameShort,"XTopRoller specific dimension if different from base." 
XTopRollerWidth,mm,max(FrameLong;XGantryWidth),"XTopRoller specific dimension if different from base." 
XTopRollerThick,mm,3 mm,"Use 3mm thickness steel for 75mm roller width to prevent radius to bolt head conflict" 
XTopRollerRadius,mm,FrameRadius,"XTopRoller specific dimension if different from base." 
XBottomRollerHeight,mm,50 mm,"XBottomRoller height"
XBottomRollerWidth,mm,max(75 mm; 25 * ceil(( XTopRollerWidth + XRollerShimThick - 6 mm ) / 25)),"Edit to actual width of XBottomRoller to adjust for lower drill guide."
XBottomRollerThick,mm,6 mm,"XBottomRoller thickness"
XBottomRollerRadius,mm,6 mm,"XBottomRoller radius.  For 6061, measure using radius tool.  For 6063, set to 0. "
XRollerLength,mm,50 mm + ( XCarriageCount * 50 mm ),"Calculated based on minimum distance between HGW20CC carriages.  Can be manually set longer." 
YCarriageB,mm,53 mm,"Affects the drill guides only: 53 for HGW20CC, 32 for HGH20CA"
YCarriageC,mm,40 mm,"Affects the drill guides only: 40 for HGW20CC, 36 for HGH20CA"
YCarriageHeight,mm,30 mm,Future Parameter - not implemented
XCarriageB,mm,53 mm,"Affects the drill guides only: 53 for HGW20CC, 32 for HGH20CA"
XCarriageC,mm,40 mm,"Affects the drill guides only: 40 for HGW20CC, 36 for HGH20CA"
XCarriageHeight,mm,30 mm,Future Parameter - not implemented
XRollerOffset,mm,0 mm,"Moves the XTopRoller towards the back of the CNC if using 50x100 for top roller"
SpindleClampHoleHorizontal,mm,125 mm,"Spindle Clamp Hole spacing width: 108 for Narrow, 125 for Standard 80mm spindle clamp"
SpindleClampHoleVertical,mm,64 mm,"Spindle Clamp Hole spacing height: 50 for Narrow,  64 for Standard 80mm spindle clamp"
XGantryLength,mm,calcXFrameLength + ( YRollerWidth - YFrameWidth ),"Length of XGantry"
XFrameFrontOffset,mm,50 mm,"Moves the front XFrame tubing back. Set this to 150 to move the first X frame steel back for vertical clamping"
XFrameBackOffset,mm,50 mm,"Moves the rear XFrame tubing forward"
RollerPlateThick,mm,15 mm,"12mm for milled aluminum, 15mm for 3d printed"
XRollerShimThick,mm,8 mm,"Adds shim between XTopRoller and ZPlate. Set 8mm to use 6mm angle and square tubing."
ZCarriageCount,,2,"Number of Z Carriages per linear rail. 1 uses HGW20CC, 2 uses HGH15CA"
GantryBraceHeight,mm,75 mm,"Gantry to Yroller brace height"
GantryBraceWidth,mm,50 mm,"Gantry to Yroller brace width"
GantryBraceThick,mm,6 mm,"Gantry to Yroller brace thickness"
GantryBraceRadius,mm,6 mm,"Gantry to Yroller brace radius"
XRailtoYRollerLeftGap,mm,5 mm,"25 for single Xcarriage, 5 for dual Xcarriage"
XRailtoYRollerRightGap,mm,20 mm,"25 for single Xcarriage, 20 for dual Xcarriage"
KitEnable,,0,"0 for DIY, 1 for Kit"
